brand,url,host,slug,logo_path,logo_status,logo_source,logo_url,logo_error
001win,https://001win.br.com,001win.br.com,001win,assets/logos/001win.webp,fetched,img,https://001win.br.com/assets/images/001win.png,
0099bet,https://0099betbrasil.com,0099betbrasil.com,0099bet,assets/logos/0099bet.webp,fetched,img,https://0099betbrasil.com/assets/images/0099bet.png,
00bet,https://00bet.br.com,00bet.br.com,00bet,assets/logos/00bet.webp,fetched,img,https://00bet.br.com/assets/images/00bet.png,
010bet,https://010betbrasil.com,010betbrasil.com,010bet,assets/logos/010bet.webp,fetched,img,https://010betbrasil.com/assets/images/010bet.png,
017bet,https://017bet.br.com,017bet.br.com,017bet,assets/logos/017bet.svg,fallback,generated-fallback,,https://017bet.br.com/favicon.ico: <urlopen error [Errno 11001] getaddrinfo failed>
020bet,https://020betbrasil.com,020betbrasil.com,020bet,assets/logos/020bet.webp,fetched,img,https://020betbrasil.com/images/logo.png,
088bet,https://088betbrasil.com,088betbrasil.com,088bet,assets/logos/088bet.webp,fetched,og:image,https://088betbrasil.com/images/088bet.png,
10brl,https://10brlbrasil.com,10brlbrasil.com,10brl,assets/logos/10brl.webp,fetched,img,https://10brlbrasil.com/assets/images/10brl.png,
10win,https://10winbrasil.com,10winbrasil.com,10win,assets/logos/10win.webp,fetched,img,https://10winbrasil.com/assets/images/10win.png,
116bet,https://116betco.com,116betco.com,116bet,assets/logos/116bet.webp,fetched,img,https://116betco.com/assets/images/116bet.png,
11pg,https://11pg.br.com,11pg.br.com,11pg,assets/logos/11pg.webp,fetched,img,https://11pg.br.com/assets/images/11pg.png,
122bet,https://122bet.it.com,122bet.it.com,122bet,assets/logos/122bet.webp,fetched,img,https://122bet.it.com/assets/images/122bet.png,
123game,https://123gamebrasil.com,123gamebrasil.com,123game,assets/logos/123game.webp,fetched,img,https://123gamebrasil.com/assets/images/123game.png,
123vip,https://123vipbrasil.com,123vipbrasil.com,123vip,assets/logos/123vip.webp,fetched,img,https://123vipbrasil.com/assets/images/123vip.png,
124bet,https://124betbrasil.com,124betbrasil.com,124bet,assets/logos/124bet.webp,fetched,og:image,https://124betbrasil.com/images/124bet_logo.png,
125bet,https://125betbrasil.com,125betbrasil.com,125bet,assets/logos/125bet.webp,fetched,img,https://125betbrasil.com/img/logo.webp,
126bet,https://126betbrasil.com,126betbrasil.com,126bet,assets/logos/126bet.webp,fetched,img,https://126betbrasil.com/assets/images/126bet.png,
128bet,https://128betbrasil.com,128betbrasil.com,128bet,assets/logos/128bet.webp,fetched,img,https://128betbrasil.com/assets/images/128bet.png,
129bet,https://129betbrasil.com,129betbrasil.com,129bet,assets/logos/129bet.webp,fetched,img,https://129betbrasil.com/assets/images/129bet.png,
134bet,https://134betbrasil.com,134betbrasil.com,134bet,assets/logos/134bet.webp,fetched,og:image,https://134betbrasil.com/images/134bet.png,
137bet,https://137betbrasil.com,137betbrasil.com,137bet,assets/logos/137bet.webp,fetched,img,https://137betbrasil.com/assets/images/137bet.png,
138bet,https://138betbrasil.com,138betbrasil.com,138bet,assets/logos/138bet.webp,fetched,img,https://138betbrasil.com/assets/images/138bet.png,
14win,https://14winbrasil.com,14winbrasil.com,14win,assets/logos/14win.webp,fetched,img,https://14winbrasil.com/assets/images/14win.png,
156bet,https://156betbrasil.com,156betbrasil.com,156bet,assets/logos/156bet.webp,fetched,img,https://156betbrasil.com/assets/images/156bet.png,
158bet,https://158betbrasil.com,158betbrasil.com,158bet,assets/logos/158bet.webp,fetched,img,https://158betbrasil.com/assets/images/158bet.png,
159bet,https://159bet.br.com,159bet.br.com,159bet,assets/logos/159bet.webp,fetched,img,https://159bet.br.com/assets/images/159bet.png,
15wim,https://15wim.br.com,15wim.br.com,15wim,assets/logos/15wim.webp,fetched,img,https://15wim.br.com/assets/images/15wim.png,
160bet,https://160betbrasil.com,160betbrasil.com,160bet,assets/logos/160bet.webp,fetched,img,https://160betbrasil.com/assets/images/160bet.png,
168bet,https://168betbrasil.com,168betbrasil.com,168bet,assets/logos/168bet.webp,fetched,og:image,https://168betbrasil.com/images/168bet_logo.png,
